,location,total_sqft,bath,price,bhk
1, Devarachikkanahalli,1250.0,2.0,40.0,2
2, Devarachikkanahalli,1200.0,2.0,83.0,2
3, Devarachikkanahalli,1170.0,2.0,40.0,2
4, Devarachikkanahalli,1425.0,2.0,65.0,3
5, Devarachikkanahalli,947.0,2.0,43.0,2
6, Devarachikkanahalli,1130.0,2.0,36.0,2
7, Devarachikkanahalli,1417.0,2.0,76.0,3
8, Devarachikkanahalli,1230.0,2.0,58.0,2
9, Devarachikkanahalli,1705.0,3.0,75.0,3
10, Devarachikkanahalli,1116.0,2.0,47.0,2
11, Devarachikkanahalli,991.0,2.0,40.0,2
13,1st Block Jayanagar,2850.0,4.0,428.0,4
14,1st Block Jayanagar,1630.0,3.0,194.0,3
15,1st Block Jayanagar,1875.0,2.0,235.0,3
16,1st Block Jayanagar,1200.0,2.0,130.0,3
17,1st Block Jayanagar,1235.0,2.0,148.0,2
18,1st Block Jayanagar,2750.0,4.0,413.0,4
19,1st Block Jayanagar,2450.0,4.0,368.0,4
20,1st Block Koramangala,1415.0,2.0,110.0,2
21,1st Block Koramangala,860.0,2.0,65.5,2
22,1st Block Koramangala,3000.0,3.0,300.0,4
23,1st Block Koramangala,2350.0,3.0,210.0,3
24,1st Block Koramangala,3000.0,5.0,500.0,4
26,1st Phase JP Nagar,1875.0,3.0,167.0,3
27,1st Phase JP Nagar,1500.0,5.0,85.0,5
28,1st Phase JP Nagar,2065.0,4.0,210.0,3
30,1st Phase JP Nagar,2059.0,3.0,225.0,3
31,1st Phase JP Nagar,1394.0,2.0,100.0,2
32,1st Phase JP Nagar,1077.0,2.0,93.0,2
33,1st Phase JP Nagar,1566.0,2.0,180.0,2
34,1st Phase JP Nagar,840.0,2.0,50.0,1
35,1st Phase JP Nagar,1590.0,3.0,131.0,3
36,1st Phase JP Nagar,2180.0,3.0,210.0,3
37,1st Phase JP Nagar,1180.0,2.0,88.5,2
38,1st Phase JP Nagar,1200.0,2.0,86.0,2
39,1st Phase JP Nagar,1394.0,2.0,85.0,2
40,1st Phase JP Nagar,2077.0,3.0,175.0,3
42,1st Phase JP Nagar,1205.0,2.0,85.0,2
44,1st Phase JP Nagar,900.0,2.0,75.0,2
45,2nd Phase Judicial Layout,1450.0,2.0,50.75,3
46,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
47,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
48,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
49,2nd Phase Judicial Layout,900.0,2.0,41.0,2
50,2nd Phase Judicial Layout,1681.0,3.0,69.0,3
51,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
52,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
53,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
54,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
55,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6
56,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
57,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
58,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
59,5th Block Hbr Layout,1206.0,2.0,56.0,2
60,5th Block Hbr Layout,1270.0,2.0,70.0,3
61,5th Block Hbr Layout,1312.0,2.0,69.0,2
62,5th Block Hbr Layout,1100.0,2.0,48.0,2
63,5th Block Hbr Layout,3600.0,5.0,130.0,5
64,5th Block Hbr Layout,5100.0,5.0,300.0,6
65,5th Phase JP Nagar,1075.0,2.0,60.0,2
66,5th Phase JP Nagar,1150.0,3.0,52.5,2
67,5th Phase JP Nagar,1256.0,2.0,62.8,2
68,5th Phase JP Nagar,1207.0,2.0,63.0,2
69,5th Phase JP Nagar,1725.0,2.0,100.0,3
70,5th Phase JP Nagar,1440.0,2.0,60.0,2
71,5th Phase JP Nagar,1700.0,2.0,100.0,3
73,5th Phase JP Nagar,2500.0,5.0,110.0,5
74,5th Phase JP Nagar,600.0,1.0,30.0,1
75,5th Phase JP Nagar,1390.0,2.0,65.0,2
76,5th Phase JP Nagar,1256.0,2.0,62.8,2
77,5th Phase JP Nagar,1000.0,2.0,48.0,2
78,5th Phase JP Nagar,1350.0,2.0,75.0,3
79,5th Phase JP Nagar,552.0,1.0,23.5,1
80,5th Phase JP Nagar,1200.0,2.0,51.0,2
84,5th Phase JP Nagar,1030.0,2.0,57.0,2
85,5th Phase JP Nagar,1200.0,2.0,68.0,2
86,5th Phase JP Nagar,1190.0,2.0,61.8,2
87,5th Phase JP Nagar,4000.0,5.0,170.0,5
88,5th Phase JP Nagar,1080.0,2.0,53.0,2
89,5th Phase JP Nagar,1041.0,2.0,54.0,2
90,5th Phase JP Nagar,812.0,2.0,42.0,2
91,5th Phase JP Nagar,1010.0,2.0,57.0,2
93,5th Phase JP Nagar,1075.0,2.0,60.0,2
94,6th Phase JP Nagar,1192.0,2.0,74.0,2
95,6th Phase JP Nagar,1180.0,2.0,80.0,2
96,6th Phase JP Nagar,3245.0,4.0,250.0,4
97,6th Phase JP Nagar,1645.0,3.0,100.0,3
98,6th Phase JP Nagar,1140.0,2.0,65.0,2
99,6th Phase JP Nagar,2040.0,3.0,200.0,3
100,6th Phase JP Nagar,1213.0,2.0,63.0,2
101,6th Phase JP Nagar,1216.0,2.0,60.0,2
102,6th Phase JP Nagar,1460.0,2.0,80.0,2
103,6th Phase JP Nagar,2003.0,3.0,200.0,3
104,6th Phase JP Nagar,1810.0,3.0,131.0,3
105,6th Phase JP Nagar,1515.0,2.0,135.0,3
106,6th Phase JP Nagar,1192.0,2.0,75.0,2
107,6th Phase JP Nagar,1280.0,2.0,88.0,2
108,7th Phase JP Nagar,1080.0,2.0,72.0,2
109,7th Phase JP Nagar,1270.0,2.0,93.0,2
110,7th Phase JP Nagar,1420.0,2.0,100.0,3
111,7th Phase JP Nagar,1850.0,3.0,150.0,3
112,7th Phase JP Nagar,1245.0,2.0,94.0,2
113,7th Phase JP Nagar,1175.0,2.0,82.0,2
114,7th Phase JP Nagar,1400.0,2.0,95.0,3
115,7th Phase JP Nagar,2225.0,3.0,160.0,3
